Function:XOR
ANN Hyperparameters: activation function Null, layer arch [2, 7, 7, 1]
PSO Hyperparameters: swarm size15, inertia weight0.9, cognitive weight1.6, social weight1.6, epochs25
-------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------
epoch:001 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:001 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:002 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:002 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:003 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:003 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:004 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:004 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:005 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:005 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:006 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:006 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:007 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:02, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:03, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:04, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:05, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:06, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:07, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:08, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:09, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:10, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:11, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:12, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:13, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:14, par err:0.5000, best part err:0.5000, best swarm err:0.5000
epoch:007 ,particle:15, par err:0.5000, best part err:0.5000, best swarm err:0.5000

-------------------------------------------------------------------------------------
epoch:008 ,particle:01, par err:0.5000, best part err:0.5000, best swarm err:0.5000
